,FEDFUNDS,TB3MS,T5YIE,UNRATE,CPIAUCSL_YOY,PCEPI_YOY,INDPRO_YOY,PAYEMS_YOY,NFCI,STLFSI4,SPREAD_2s10s,SPREAD_3m10y,SPREAD_5s30s,beta1,beta2,beta3,beta1_L1,beta1_L2,beta1_L3,beta2_L1,beta2_L2,beta2_L3,beta3_L1,beta3_L2,beta3_L3,beta1_t1,beta2_t1,beta3_t1
2004-01-31,1.0,0.88,2.16,5.7,2.006030944667448,2.1882879472871157,1.2971685241192965,0.1400533656140012,-0.79124,-0.391,-2.390000000000001,-3.2700000000000005,-2.01,5.596445793142134,-4.886690578365023,-3.2374057045991504,5.668895060849558,5.713343061743331,5.774856985176682,-5.088928740580926,-5.077113069466639,-4.8929996832168525,-2.1173050963161826,-2.2870437753075716,-4.29598635357881,5.556291233187176,-4.860203827518703,-2.987151339178583
2004-02-29,1.01,0.93,2.38,5.6,1.674357236128632,1.9808697347608373,1.79097917743416,0.2901315281322425,-0.81944,-0.5148,-2.34,-3.15,-2.01,5.556291233187176,-4.860203827518703,-2.987151339178583,5.596445793142134,5.668895060849558,5.713343061743331,-4.886690578365023,-5.088928740580926,-5.077113069466639,-3.2374057045991504,-2.1173050963161826,-2.2870437753075716,5.423474359709674,-4.594524851318645,-3.5141673451454336
2004-03-31,1.0,0.94,2.29,5.8,1.725110166976851,1.8786716533225167,1.6740303338020013,0.6917318514037873,-0.80787,-0.3178,-2.25,-2.89,-2.1100000000000003,5.423474359709674,-4.594524851318645,-3.5141673451454336,5.556291233187176,5.596445793142134,5.668895060849558,-4.860203827518703,-4.886690578365023,-5.088928740580926,-2.987151339178583,-3.2374057045991504,-2.1173050963161826,5.748131219657989,-5.156089963306862,-1.769562181839276e-05
2004-04-30,1.0,0.94,2.34,5.6,2.266691756429129,2.2340819189209604,2.688912363592255,0.948077319797136,-0.74425,-0.4066,-2.28,-3.41,-1.89,5.748131219657989,-5.156089963306862,-1.769562181839276e-05,5.423474359709674,5.556291233187176,5.596445793142134,-4.594524851318645,-4.860203827518703,-4.886690578365023,-3.5141673451454336,-2.987151339178583,-3.2374057045991504,5.879192169918838,-5.059240400690818,1.4441211135413561e-05
2004-05-31,1.0,1.02,2.55,5.6,2.8565671754459565,2.673479491343933,3.462050408190631,1.1462822110175352,-0.69945,-0.5925,-2.19,-3.7,-1.6599999999999997,5.879192169918838,-5.059240400690818,1.4441211135413561e-05,5.748131219657989,5.423474359709674,5.556291233187176,-5.156089963306862,-4.594524851318645,-4.860203827518703,-1.769562181839276e-05,-3.5141673451454336,-2.987151339178583,5.835870571605384,-4.523876545641632,7.330179273176511e-05
2004-06-30,1.03,1.27,2.43,5.6,3.1185322826999595,2.8499124142270738,2.558150062805975,1.2283581747377426,-0.69105,-0.5495,-1.9700000000000009,-3.4600000000000004,-1.5500000000000005,5.835870571605384,-4.523876545641632,7.330179273176511e-05,5.879192169918838,5.748131219657989,5.423474359709674,-5.059240400690818,-5.156089963306862,-4.594524851318645,1.4441211135413561e-05,-1.769562181839276e-05,-3.5141673451454336,5.716613123139086,-4.266243659516115,-5.151210400461307e-06
2004-07-31,1.26,1.33,2.41,5.5,2.897198344333152,2.6491363469933304,2.778265050175932,1.2738831310688423,-0.70023,-0.5378,-1.86,-3.17,-1.6199999999999997,5.716613123139086,-4.266243659516115,-5.151210400461307e-06,5.835870571605384,5.879192169918838,5.748131219657989,-4.523876545641632,-5.059240400690818,-5.156089963306862,7.330179273176511e-05,1.4441211135413561e-05,-1.769562181839276e-05,5.6023872821138365,-4.134163323388996,2.8797235313902548e-05
2004-08-31,1.43,1.48,2.27,5.4,2.515519313719583,2.363027211304125,3.076641864549412,1.3636592293257976,-0.70555,-0.6381,-1.7700000000000005,-2.8000000000000003,-1.6800000000000002,5.6023872821138365,-4.134163323388996,2.8797235313902548e-05,5.716613123139086,5.835870571605384,5.879192169918838,-4.266243659516115,-4.523876545641632,-5.059240400690818,-5.151210400461307e-06,7.330179273176511e-05,1.4441211135413561e-05,5.449958379274906,-3.786373703313355,1.95549829448094e-05
2004-09-30,1.61,1.65,2.33,5.4,2.5074666596375472,2.248448852460516,2.5427424341239124,1.4012366005133003,-0.70407,-0.6479,-1.6,-2.48,-1.6200000000000006,5.449958379274906,-3.786373703313355,1.95549829448094e-05,5.6023872821138365,5.716613123139086,5.835870571605384,-4.134163323388996,-4.266243659516115,-4.523876545641632,2.8797235313902548e-05,-5.151210400461307e-06,7.330179273176511e-05,5.409753750263891,-3.5751474025140144,-0.8750396088607664
2004-10-31,1.76,1.76,2.49,5.5,3.1410620621107554,2.6642042819935874,3.2942491164323684,1.5148404148348504,-0.70961,-0.6748,-1.5199999999999996,-2.34,-1.5900000000000003,5.409753750263891,-3.5751474025140144,-0.8750396088607664,5.449958379274906,5.6023872821138365,5.716613123139086,-3.786373703313355,-4.134163323388996,-4.266243659516115,1.95549829448094e-05,2.8797235313902548e-05,-5.151210400461307e-06,5.376486075905756,-3.239785173111612,1.7121456260252928e-05
